identifier_target_name	identifier_target_accession	identifier_target_length	identifier_query_name	identifier_query_accession	identifier_query_length	full_sequence_e-value	full_sequence_score	full_sequence_bias	this_domain_domain_number	this_domain_total_domains	this_domain_e-value	this_domain_i-value	this_domain_score	this_domain_bias	hmm_coord_from	hmm_coord_to	ali_coord_from	ali_coord_to	env_coord_from	env_coord_to	identifier_acc	identifier_query_description
HTH_3	PF01381.25	55	tr|Q04114|Q04114_ENTFL	-	317	1.3e-06	28.4	0.0	1	1	1.6e-10	3.2e-06	27.2	0.0	1	54	8	60	8	61	0.91	Helix-turn-helix
AsnC_trans_reg	PF01037.24	75	tr|Q975W5|Q975W5_SULTO	-	83	2.9e-17	62.5	0.7	1	1	3.3e-21	3.2e-17	62.4	0.7	1	74	6	76	6	77	0.96	Lrp/AsnC ligand binding domain
ATP-cone	PF03477.19	86	sp|P0A8D0|NRDR_ECOLI	-	149	2.2e-15	57.1	0.1	1	1	1.6e-19	3.1e-15	56.6	0.1	2	85	50	136	49	137	0.96	ATP cone domain
Sigma54_activat	PF00158.29	168	tr|Q884Y2|Q884Y2_PSESM	-	491	8.2e-75	250.3	0.0	1	1	4.7e-78	1.3e-74	249.6	0.0	1	168	146	313	146	313	0.99	Sigma-54 interaction domain
FleQ	PF06490.14	109	tr|Q884Y2|Q884Y2_PSESM	-	491	2.5e-29	101.9	0.1	1	2	4e-32	1.1e-28	99.8	0.1	1	109	6	123	6	123	0.95	Flagellar regulatory protein FleQ
HTH_8	PF02954.22	42	tr|Q884Y2|Q884Y2_PSESM	-	491	1.7e-11	43.8	1.0	1	1	2.2e-14	6.2e-11	42.0	1.0	5	42	441	478	438	478	0.97	Bacterial regulatory protein, Fis family
HTH_50	PF18024.4	50	tr|Q884Y2|Q884Y2_PSESM	-	491	0.00082	19.1	0.0	1	2	0.63	1.8e+03	-1.2	0.0	4	20	362	378	360	379	0.85	Helix-turn-helix domain
HTH_18	PF12833.10	81	tr|Q92WA5|Q92WA5_RHIME	-	382	1.1e-14	54.5	0.1	1	1	3.8e-18	2.5e-14	53.4	0.1	1	80	273	351	273	352	0.93	Helix-turn-helix domain
AraC_binding_2	PF14525.9	173	tr|Q92WA5|Q92WA5_RHIME	-	382	1.4e-08	34.8	0.1	1	1	4.9e-12	3.2e-08	33.6	0.1	17	117	80	183	60	234	0.77	AraC-binding-like domain
TetR_N	PF00440.26	47	tr|Q8NR95|Q8NR95_CORGL	-	229	3e-13	49.4	0.4	1	2	1.1e-16	2.2e-12	46.7	0.0	1	47	35	81	35	81	0.97	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	tr|Q8NR95|Q8NR95_CORGL	-	229	3e-13	49.4	0.4	2	2	0.04	7.8e+02	0.1	0.3	5	25	198	218	197	218	0.82	Bacterial regulatory proteins, tetR family
TetR_C_6	PF13977.9	115	tr|C7MT25|C7MT25_SACVD	-	287	1.9e-29	102.3	0.1	1	2	1.6	6.2e+03	-2.5	0.3	43	48	94	99	60	113	0.51	BetI-type transcriptional repressor, C-terminal
HTH_19	PF12844.10	65	tr|C7MT25|C7MT25_SACVD	-	287	7.3e-06	26.1	0.0	1	2	3.8e-08	0.00015	21.9	0.0	15	64	22	70	20	71	0.96	Helix-turn-helix domain
TetR_N	PF00440.26	47	tr|C7MT25|C7MT25_SACVD	-	287	2.4e-16	59.4	0.0	2	2	3.6e-19	1.4e-15	56.9	0.0	1	47	101	147	101	147	0.98	Bacterial regulatory proteins, tetR family
XylR_N	PF06505.14	101	sp|Q43965|MOPR_ACIGI	-	560	3.7e-32	110.2	0.6	1	2	1e-34	2.2e-31	107.7	0.2	1	99	22	120	22	122	0.97	Activator of aromatic catabolism
Sigma54_activat	PF00158.29	168	sp|Q43965|MOPR_ACIGI	-	560	1.8e-68	229.7	0.2	2	2	5.1e-71	1.1e-67	227.1	0.0	2	167	246	411	245	412	0.98	Sigma-54 interaction domain
V4R	PF02830.21	62	sp|Q43965|MOPR_ACIGI	-	560	7.8e-13	48.4	0.3	1	1	7.5e-16	1.6e-12	47.4	0.3	3	62	136	195	134	195	0.95	V4R domain
HTH_8	PF02954.22	42	sp|Q43965|MOPR_ACIGI	-	560	3.3e-12	46.1	0.1	1	1	4.5e-15	9.9e-12	44.5	0.1	2	41	517	556	516	556	0.97	Bacterial regulatory protein, Fis family
LysR_substrate	PF03466.23	209	sp|P0DV33|ADMX_SERPL	-	304	5.5e-23	81.6	0.0	1	1	7.5e-27	7.4e-23	81.2	0.0	3	207	88	280	86	282	0.94	LysR substrate binding domain
HTH_1	PF00126.30	60	sp|P0DV33|ADMX_SERPL	-	304	2.3e-16	59.6	0.1	1	1	4.5e-20	4.4e-16	58.7	0.1	1	57	3	59	3	62	0.93	Bacterial regulatory helix-turn-helix protein, lysR family
MarR_2	PF12802.10	61	tr|Q6D5K4|Q6D5K4_PECAS	-	179	6.1e-11	42.3	0.0	1	1	2.9e-14	1.4e-10	41.2	0.0	2	61	61	122	60	122	0.96	MarR family
HTH_34	PF13601.9	80	tr|Q6D5K4|Q6D5K4_PECAS	-	179	7.9e-05	22.9	0.1	2	2	0.59	2.9e+03	-1.4	0.0	23	40	157	174	151	176	0.81	Winged helix DNA-binding domain
HTH_1	PF00126.30	60	sp|A6TDS6|ARGP_KLEP7	-	297	1.8e-18	66.4	1.4	1	3	2.9e-22	2.8e-18	65.7	0.1	2	60	7	64	6	64	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	sp|A6TDS6|ARGP_KLEP7	-	297	1.2e-13	51.1	1.7	1	1	2e-17	1.9e-13	50.4	1.7	8	205	93	287	90	290	0.89	LysR substrate binding domain
AsnC_trans_reg	PF01037.24	75	tr|A0A059UVN8|A0A059UVN8_PSEPU	-	161	4e-25	87.7	0.0	1	1	9.6e-29	6.3e-25	87.1	0.0	1	75	70	143	70	143	0.95	Lrp/AsnC ligand binding domain
HTH_24	PF13412.9	48	tr|A0A059UVN8|A0A059UVN8_PSEPU	-	161	2.5e-18	65.5	0.1	1	1	6.1e-22	4e-18	64.8	0.1	1	48	4	51	4	51	0.98	Winged helix-turn-helix DNA-binding
GntR	PF00392.24	64	tr|Q19AK4|Q19AK4_PSESY	-	245	1.3e-18	66.5	1.0	1	1	3.2e-22	3.2e-18	65.3	1.0	4	64	27	86	24	86	0.97	Bacterial regulatory proteins, gntR family
FCD	PF07729.15	125	tr|Q19AK4|Q19AK4_PSESY	-	245	8e-16	58.7	1.2	1	1	1.6e-19	1.5e-15	57.8	1.2	1	124	96	216	96	217	0.98	FCD domain
TetR_N	PF00440.26	47	tr|E3UMG9|E3UMG9_NEIGO	-	210	1.2e-18	66.7	0.2	1	1	3.3e-22	2.2e-18	65.9	0.2	3	47	17	61	15	61	0.96	Bacterial regulatory proteins, tetR family
TetR_C_2	PF08361.14	121	tr|E3UMG9|E3UMG9_NEIGO	-	210	2.4e-16	60.1	0.1	2	2	1.4e-19	9.2e-16	58.2	0.1	5	119	87	201	84	203	0.95	MAATS-type transcriptional repressor, C-terminal region
CodY	PF06018.17	177	sp|C1FSK6|CODY_CLOBJ	-	258	2e-70	236.0	0.1	1	1	3.9e-74	2.5e-70	235.7	0.1	1	177	3	179	3	179	0.99	CodY GAF-like domain
HTH_CodY	PF08222.14	61	sp|C1FSK6|CODY_CLOBJ	-	258	1.1e-29	101.9	1.4	1	1	3e-33	2e-29	101.1	1.4	2	59	199	256	198	258	0.97	CodY helix-turn-helix domain
TetR_N	PF00440.26	47	tr|O06169|O06169_MYCTU	-	215	1.2e-18	66.8	0.2	1	1	2.8e-22	2.7e-18	65.6	0.2	1	47	30	76	30	76	0.97	Bacterial regulatory proteins, tetR family
TetR_C_24	PF17932.4	114	tr|O06169|O06169_MYCTU	-	215	1.6e-08	34.9	0.1	1	1	3.2e-12	3.1e-08	34.0	0.1	5	88	99	180	95	181	0.92	Tetracyclin repressor-like, C-terminal domain
Peripla_BP_3	PF13377.9	166	tr|Q036L9|Q036L9_LACP3	-	333	8.4e-33	114.1	2.2	2	2	1.1e-34	5.5e-31	108.2	0.3	2	165	169	332	168	333	0.86	Periplasmic binding protein-like domain
LacI	PF00356.24	46	tr|Q036L9|Q036L9_LACP3	-	333	2.6e-18	65.7	0.4	1	2	1.8e-21	9e-18	63.9	0.1	1	46	3	48	3	48	0.98	Bacterial regulatory proteins, lacI family
Trns_repr_metal	PF02583.20	77	sp|P0AAP3|FRMR_ECOLI	-	91	7.6e-22	77.6	1.6	1	1	4.5e-26	8.7e-22	77.4	1.6	1	76	7	87	7	88	0.89	Metal-sensitive transcriptional repressor
CoA_binding	PF02629.22	96	sp|Q82E78|REX_STRAW	-	252	1.4e-22	80.3	0.4	1	1	5.1e-26	3.3e-22	79.1	0.4	1	95	91	188	91	189	0.97	CoA binding domain
Put_DNA-bind_N	PF06971.16	49	sp|Q82E78|REX_STRAW	-	252	9.5e-20	70.6	0.0	1	1	3e-23	2e-19	69.6	0.0	2	49	16	63	15	63	0.99	Putative DNA-binding protein N-terminus
GFO_IDH_MocA	PF01408.25	120	sp|Q82E78|REX_STRAW	-	252	3.7e-05	24.6	0.2	2	2	1.7	1.1e+04	-2.8	0.0	33	61	214	242	207	249	0.64	Oxidoreductase family, NAD-binding Rossmann fold
LysR_substrate	PF03466.23	209	tr|A0A087IWB4|A0A087IWB4_VIBVL	-	291	1.1e-37	129.6	0.0	1	1	1.6e-41	1.6e-37	129.1	0.0	3	204	88	285	87	288	0.95	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|A0A087IWB4|A0A087IWB4_VIBVL	-	291	1.9e-13	50.3	0.2	1	1	3.8e-17	3.8e-13	49.3	0.2	1	60	3	62	3	62	0.98	Bacterial regulatory helix-turn-helix protein, lysR family
UTRA	PF07702.16	141	tr|A0A161YJ90|A0A161YJ90_PSEPU	-	248	4.2e-39	133.8	0.4	1	1	8.4e-43	5.5e-39	133.4	0.4	1	141	104	241	104	241	0.99	UTRA domain
GntR	PF00392.24	64	tr|A0A161YJ90|A0A161YJ90_PSEPU	-	248	1.4e-20	72.8	0.1	2	2	7.9e-24	5.2e-20	71.0	0.0	1	64	20	83	20	83	0.99	Bacterial regulatory proteins, gntR family
MarR	PF01047.25	59	tr|A0A0H2WXU2|A0A0H2WXU2_STAAC	-	144	2.5e-17	62.6	0.2	1	3	0.47	1.3e+03	-0.5	0.0	34	43	14	23	14	24	0.86	MarR family
MarR	PF01047.25	59	tr|A0A0H2WXU2|A0A0H2WXU2_STAAC	-	144	2.5e-17	62.6	0.2	2	3	7.6e-20	2.1e-16	59.6	0.0	1	58	34	91	34	92	0.98	MarR family
MarR	PF01047.25	59	tr|A0A0H3KA72|A0A0H3KA72_STAAE	-	148	7.8e-13	48.2	0.1	1	1	3.7e-16	1.4e-12	47.4	0.1	1	58	36	93	36	94	0.97	MarR family
FUR	PF01475.22	121	sp|Q5HFK6|FUR_STAAC	-	136	1.1e-32	112.8	1.0	1	1	6.9e-37	1.4e-32	112.5	1.0	1	121	12	128	12	128	0.98	Ferric uptake regulator family
TetR_C_2	PF08361.14	121	tr|C1KA83|C1KA83_PSEFL	-	210	9.2e-37	126.0	0.0	1	1	2.9e-40	1.4e-36	125.4	0.0	1	120	84	203	84	204	0.99	MAATS-type transcriptional repressor, C-terminal region
TetR_N	PF00440.26	47	tr|C1KA83|C1KA83_PSEFL	-	210	4.5e-18	64.9	0.5	1	1	1.7e-21	8.2e-18	64.1	0.5	1	47	16	62	16	62	0.98	Bacterial regulatory proteins, tetR family
TetR_C_10	PF16295.8	132	sp|O08335|FATR_BACSU	-	194	4.2e-61	205.2	0.6	1	1	5.4e-65	5.3e-61	204.9	0.6	1	132	59	189	59	189	0.99	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	sp|O08335|FATR_BACSU	-	194	1e-17	63.8	0.0	1	1	1.6e-21	1.6e-17	63.1	0.0	1	45	12	56	12	58	0.97	Bacterial regulatory proteins, tetR family
TetR_C_1	PF02909.20	145	tr|Q9AJL5|Q9AJL5_STRVG	-	247	2.6e-11	43.6	0.1	1	1	5.4e-15	5.3e-11	42.6	0.1	2	141	100	245	98	247	0.78	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	tr|Q9AJL5|Q9AJL5_STRVG	-	247	5.2e-09	35.9	0.0	1	1	1e-12	1e-08	34.9	0.0	1	45	41	85	41	87	0.97	Bacterial regulatory proteins, tetR family
MarR_2	PF12802.10	61	tr|Q9L1Y8|Q9L1Y8_STRCO	-	172	1.3e-15	57.2	0.2	1	1	4e-19	2.6e-15	56.3	0.2	2	60	59	119	58	120	0.98	MarR family
Trns_repr_metal	PF02583.20	77	tr|Q7D0F6|Q7D0F6_AGRFC	-	90	1e-20	74.0	1.7	1	1	5.8e-25	1.1e-20	73.8	1.7	1	76	7	86	7	87	0.94	Metal-sensitive transcriptional repressor
HTH_1	PF00126.30	60	tr|A0A072ZKH7|A0A072ZKH7_PSEAI	-	304	9.3e-20	70.5	0.2	1	2	2.7e-23	2.6e-19	69.0	0.1	1	59	5	63	5	64	0.98	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	tr|A0A072ZKH7|A0A072ZKH7_PSEAI	-	304	1.4e-47	161.9	1.9	2	2	1.8e-51	1.8e-47	161.6	0.7	3	208	90	296	88	297	0.94	LysR substrate binding domain
TetR_C_24	PF17932.4	114	sp|P9WMB9|KSTR2_MYCTU	-	200	6.6e-20	71.6	0.1	1	1	2.8e-23	1.1e-19	70.9	0.1	2	114	81	195	80	195	0.92	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	sp|P9WMB9|KSTR2_MYCTU	-	200	1.7e-17	63.0	0.4	1	1	6.9e-21	2.7e-17	62.4	0.4	1	47	15	61	15	61	0.97	Bacterial regulatory proteins, tetR family
CoA_binding	PF02629.22	96	sp|Q2FWL6|REX_STAA8	-	211	3.4e-26	91.9	1.8	1	1	1e-29	5.1e-26	91.3	1.8	3	96	84	180	82	180	0.96	CoA binding domain
Put_DNA-bind_N	PF06971.16	49	sp|Q2FWL6|REX_STAA8	-	211	3.9e-19	68.6	0.4	1	1	1.5e-22	7.6e-19	67.7	0.4	1	49	6	54	6	54	0.99	Putative DNA-binding protein N-terminus
MerR-DNA-bind	PF09278.14	65	tr|A0A6W0NZ01|A0A6W0NZ01_SALRU	-	154	3.9e-21	75.5	2.1	1	2	5.9e-25	3.9e-21	75.5	2.1	1	65	44	108	44	108	0.97	MerR, DNA binding
MerR-DNA-bind	PF09278.14	65	tr|A0A6W0NZ01|A0A6W0NZ01_SALRU	-	154	3.9e-21	75.5	2.1	2	2	2	1.3e+04	-3.1	0.0	30	42	129	143	123	148	0.50	MerR, DNA binding
HTH_5	PF01022.23	47	sp|P37309|ARSR_ECOLI	-	117	1.9e-17	62.9	2.2	1	1	3.4e-21	3.3e-17	62.2	2.2	1	45	15	60	15	61	0.98	Bacterial regulatory protein, arsR family
TetR_N	PF00440.26	47	tr|Q7B8P6|Q7B8P6_CAMJU	-	210	4.6e-10	39.2	0.1	1	1	3.7e-14	7.2e-10	38.6	0.1	3	47	20	64	18	64	0.96	Bacterial regulatory proteins, tetR family
Sugar-bind	PF04198.16	257	sp|P37078|SORC_KLEPN	-	315	6.3e-80	268.1	0.0	1	1	3.9e-83	7.7e-80	267.8	0.0	2	257	58	315	57	315	0.99	Putative sugar-binding domain
HTH_38	PF13936.9	44	sp|P37078|SORC_KLEPN	-	315	1.8e-08	34.1	0.2	1	1	2e-11	3.8e-08	33.1	0.2	12	44	12	45	9	45	0.91	Helix-turn-helix domain
DeoRC	PF00455.25	160	sp|P32104|ACCR_AGRFC	-	258	7.2e-49	166.0	0.6	1	1	2e-52	9.7e-49	165.5	0.6	2	160	78	237	77	237	0.97	DeoR C terminal sensor domain
HTH_DeoR	PF08220.15	57	sp|P32104|ACCR_AGRFC	-	258	3.4e-21	74.9	0.8	1	1	1.3e-24	6.1e-21	74.0	0.8	1	56	9	64	9	65	0.98	DeoR-like helix-turn-helix domain
HTH_1	PF00126.30	60	sp|P94678|TSAR_COMTE	-	298	1.3e-19	70.1	1.2	1	1	3.1e-23	3e-19	68.8	1.2	1	60	3	62	3	62	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	sp|P94678|TSAR_COMTE	-	298	2e-30	105.9	3.8	2	2	2.1e-34	2e-30	105.9	3.8	3	207	88	293	86	295	0.96	LysR substrate binding domain
HTH_11	PF08279.15	55	tr|A0A898CIF2|A0A898CIF2_STAAU	-	323	1.3e-14	53.9	0.1	1	1	5.6e-18	2.7e-14	52.9	0.1	3	54	6	58	5	59	0.97	HTH domain
BPL_LplA_LipB	PF03099.22	133	tr|A0A898CIF2|A0A898CIF2_STAAU	-	323	1.4e-14	54.3	0.0	1	1	4.9e-18	2.4e-14	53.5	0.0	4	133	90	212	87	212	0.80	Biotin/lipoate A/B protein ligase family
Fe_dep_repress	PF01325.22	60	tr|I6Y1Q2|I6Y1Q2_MYCTU	-	228	2.5e-23	82.2	0.1	1	1	2.6e-26	3.9e-23	81.5	0.1	1	60	9	69	9	69	0.98	Iron dependent repressor, N-terminal DNA binding domain
Fe_dep_repr_C	PF02742.18	70	tr|I6Y1Q2|I6Y1Q2_MYCTU	-	228	3.8e-31	107.1	0.0	2	2	6.5e-34	9.8e-31	105.8	0.0	1	69	72	140	72	141	0.99	Iron dependent repressor, metal binding and dimerisation domain
FeoA	PF04023.17	74	tr|I6Y1Q2|I6Y1Q2_MYCTU	-	228	1.6e-22	79.5	0.0	2	2	3.7e-25	5.6e-22	77.8	0.0	1	72	152	226	152	228	0.95	FeoA domain
TetR_C_1	PF02909.20	145	tr|Q7AYG6|Q7AYG6_ECOLX	-	216	1.2e-40	138.7	0.0	1	1	1.7e-44	1.7e-40	138.3	0.0	2	144	69	201	68	202	0.93	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	tr|Q7AYG6|Q7AYG6_ECOLX	-	216	5.3e-17	61.5	0.1	1	2	1.1e-19	1.1e-15	57.2	0.0	2	47	10	55	9	55	0.97	Bacterial regulatory proteins, tetR family
FUR	PF01475.22	121	tr|Q9L3F6|Q9L3F6_NOSSO	-	151	8e-44	148.8	0.3	1	1	1.1e-47	1.1e-43	148.4	0.3	1	121	15	138	15	144	0.98	Ferric uptake regulator family
TetR_N	PF00440.26	47	tr|A0R4J9|A0R4J9_MYCS2	-	199	6.8e-11	41.9	1.0	1	2	9.2e-15	1.8e-10	40.6	0.4	2	47	30	75	29	75	0.96	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	tr|A0R4J9|A0R4J9_MYCS2	-	199	6.8e-11	41.9	1.0	2	2	0.11	2.2e+03	-1.3	0.0	14	32	175	193	171	195	0.74	Bacterial regulatory proteins, tetR family
Aminotran_1_2	PF00155.24	363	tr|Q18BS5|Q18BS5_CLOD6	-	482	1.9e-23	83.4	0.0	2	2	6.2e-27	4.1e-23	82.3	0.0	21	357	135	468	118	474	0.87	Aminotransferase class I and II
GntR	PF00392.24	64	tr|Q18BS5|Q18BS5_CLOD6	-	482	5e-11	42.2	0.0	1	1	1.2e-14	7.7e-11	41.6	0.0	4	64	17	77	14	77	0.96	Bacterial regulatory proteins, gntR family
TetR_N	PF00440.26	47	tr|Q60011|Q60011_STRVG	-	232	2.9e-14	52.7	1.5	1	3	1.5e-18	2.9e-14	52.7	1.5	1	45	22	66	22	68	0.96	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	tr|Q60011|Q60011_STRVG	-	232	2.9e-14	52.7	1.5	2	3	0.14	2.7e+03	-1.6	0.1	1	13	104	116	104	118	0.89	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	tr|Q60011|Q60011_STRVG	-	232	2.9e-14	52.7	1.5	3	3	0.78	1.5e+04	-4.0	1.6	23	31	214	222	211	228	0.54	Bacterial regulatory proteins, tetR family
TetR_C_1	PF02909.20	145	sp|P51561|TETR8_PASMD	-	207	1e-46	158.5	0.1	1	1	1.4e-50	1.3e-46	158.1	0.1	1	144	68	202	68	203	0.98	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	sp|P51561|TETR8_PASMD	-	207	1.1e-10	41.3	0.0	1	1	1.6e-14	1.6e-10	40.7	0.0	2	47	10	55	9	55	0.96	Bacterial regulatory proteins, tetR family
MerR_1	PF13411.9	69	tr|Q799U3|Q799U3_PRIMG	-	132	2.2e-22	79.0	1.8	1	2	4.4e-26	2.9e-22	78.6	0.1	1	66	3	69	3	70	0.96	MerR HTH family regulatory protein
NUDIX	PF00293.31	131	tr|Q9HUP7|Q9HUP7_PSEAE	-	231	6.1e-05	23.2	0.0	1	1	4.3e-09	8.5e-05	22.7	0.0	8	117	14	123	7	137	0.65	NUDIX domain
TetR_N	PF00440.26	47	tr|Q9L8G8|Q9L8G8_VIBVL	-	205	1.2e-09	38.0	0.0	1	1	9.3e-14	1.8e-09	37.3	0.0	2	47	22	67	21	67	0.95	Bacterial regulatory proteins, tetR family
LysR_substrate	PF03466.23	209	tr|A0A0H2Z7A6|A0A0H2Z7A6_PSEAB	-	332	1.8e-14	53.8	0.0	1	1	2.8e-18	2.7e-14	53.2	0.0	52	208	139	292	122	293	0.87	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|A0A0H2Z7A6|A0A0H2Z7A6_PSEAB	-	332	9.7e-11	41.6	0.0	1	1	1.8e-14	1.8e-10	40.8	0.0	1	59	6	64	6	65	0.96	Bacterial regulatory helix-turn-helix protein, lysR family
cNMP_binding	PF00027.32	89	sp|P29283|NTCA_SYNE7	-	222	3.3e-18	65.7	0.1	1	1	9.1e-22	6e-18	64.9	0.1	2	86	25	111	24	114	0.93	Cyclic nucleotide-binding domain
HTH_Crp_2	PF13545.9	68	sp|P29283|NTCA_SYNE7	-	222	2.7e-16	59.4	0.1	1	1	8.2e-20	5.3e-16	58.5	0.1	2	66	147	218	146	219	0.87	Crp-like helix-turn-helix domain
TetR_N	PF00440.26	47	tr|Q4J9S1|Q4J9S1_SULAC	-	196	7e-15	54.7	0.1	1	1	5.7e-19	1.1e-14	54.0	0.1	1	47	18	64	18	64	0.98	Bacterial regulatory proteins, tetR family
HTH_1	PF00126.30	60	sp|P0DUU5|ACER_ACIBT	-	297	2.1e-17	63.0	0.1	1	1	3.9e-21	3.8e-17	62.1	0.1	2	59	6	63	5	64	0.95	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	sp|P0DUU5|ACER_ACIBT	-	297	1.1e-21	77.4	0.3	2	2	3.9e-25	3.8e-21	75.6	0.1	7	206	94	290	88	292	0.88	LysR substrate binding domain
CodY	PF06018.17	177	sp|Q5M305|CODY_STRT2	-	261	7.8e-74	247.1	0.0	1	1	4.9e-77	9.6e-74	246.8	0.0	1	177	3	182	3	182	0.99	CodY GAF-like domain
HTH_CodY	PF08222.14	61	sp|Q5M305|CODY_STRT2	-	261	2.1e-40	136.3	1.6	1	1	2e-43	3.8e-40	135.4	1.6	1	61	201	261	201	261	0.98	CodY helix-turn-helix domain
TetR_N	PF00440.26	47	tr|Q82H41|Q82H41_STRAW	-	234	2.5e-17	62.5	0.6	1	1	8.6e-21	5.6e-17	61.4	0.6	1	47	14	60	14	60	0.98	Bacterial regulatory proteins, tetR family
TetR_C_11	PF16859.8	113	tr|Q82H41|Q82H41_STRAW	-	234	3.7e-05	24.1	5.1	1	2	6.1e-09	4e-05	24.0	0.7	42	111	112	183	77	185	0.77	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	tr|Q89M71|Q89M71_BRADU	-	229	7.5e-22	77.0	3.0	1	2	1.4e-24	1.3e-20	73.0	0.6	2	46	42	86	41	87	0.96	Bacterial regulatory proteins, tetR family
TetR_C_7	PF14246.9	119	tr|Q89M71|Q89M71_BRADU	-	229	1.6e-24	86.3	1.2	2	2	2.7e-28	2.6e-24	85.6	0.5	1	116	110	224	110	227	0.97	AefR-like transcriptional repressor, C-terminal domain
Arg_repressor	PF01316.24	70	sp|O31408|ARGR_GEOSE	-	149	7.2e-33	112.3	0.2	1	1	1.1e-36	1.1e-32	111.7	0.2	1	70	1	70	1	70	0.98	Arginine repressor, DNA binding domain
Arg_repressor_C	PF02863.21	68	sp|O31408|ARGR_GEOSE	-	149	2.7e-26	91.3	0.3	2	2	6.6e-30	6.4e-26	90.1	0.0	3	66	82	145	80	147	0.96	Arginine repressor, C-terminal domain
LysR_substrate	PF03466.23	209	sp|P52679|PCPR_SPHCR	-	307	3.8e-18	65.8	0.3	1	1	6.6e-22	6.5e-18	65.0	0.3	6	195	97	287	92	298	0.91	LysR substrate binding domain
HTH_1	PF00126.30	60	sp|P52679|PCPR_SPHCR	-	307	3.4e-16	59.1	0.0	1	1	7.5e-20	7.4e-16	58.0	0.0	2	58	9	65	8	67	0.95	Bacterial regulatory helix-turn-helix protein, lysR family
MarR	PF01047.25	59	tr|Q7DD70|Q7DD70_NEIMB	-	146	1.5e-15	56.9	0.1	1	1	7.1e-19	2.3e-15	56.3	0.1	1	59	34	92	34	92	0.98	MarR family
UTRA	PF07702.16	141	sp|Q9K492|DASR_STRCO	-	254	2.4e-42	144.3	0.1	1	1	6.2e-46	4.1e-42	143.5	0.1	1	141	104	244	104	244	0.99	UTRA domain
GntR	PF00392.24	64	sp|Q9K492|DASR_STRCO	-	254	8.7e-17	60.7	0.1	1	1	2.9e-20	1.9e-16	59.6	0.1	16	64	36	84	24	84	0.89	Bacterial regulatory proteins, gntR family
ComR_TPR	PF18710.4	222	tr|E3CNF6|E3CNF6_STRVE	-	299	6.4e-73	245.2	15.1	1	1	7.9e-77	7.8e-73	244.9	15.1	1	221	75	293	75	294	0.99	ComR tetratricopeptide
HTH_3	PF01381.25	55	tr|E3CNF6|E3CNF6_STRVE	-	299	0.00014	22.0	0.0	1	1	2.7e-08	0.00026	21.1	0.0	21	55	32	66	11	66	0.91	Helix-turn-helix
Autoind_bind	PF03472.18	149	sp|Q6NCZ5|RPAR_RHOPA	-	243	9.7e-36	122.6	0.3	1	1	1.3e-39	1.3e-35	122.2	0.3	4	149	27	167	24	167	0.96	Autoinducer binding domain
GerE	PF00196.22	57	sp|Q6NCZ5|RPAR_RHOPA	-	243	4.1e-19	68.1	0.0	1	1	6.4e-23	6.3e-19	67.4	0.0	3	57	181	235	179	235	0.96	Bacterial regulatory proteins, luxR family
HTH_3	PF01381.25	55	sp|Q5WNW9|BCRR_ENTFL	-	204	3.8e-14	52.6	0.0	1	1	1.7e-17	6.6e-14	51.8	0.0	1	55	7	61	7	61	0.98	Helix-turn-helix
NUDIX	PF00293.31	131	tr|Q8EFJ3|Q8EFJ3_SHEON	-	237	6e-13	49.1	0.0	1	1	9.8e-17	9.7e-13	48.4	0.0	8	129	24	147	19	149	0.72	NUDIX domain
AraR_C	PF19368.2	82	tr|Q8EFJ3|Q8EFJ3_SHEON	-	237	4.4e-05	23.8	0.1	1	2	1.3	1.3e+04	-3.4	0.0	66	72	10	16	7	29	0.59	AraR C-terminal winged HTH domain
AraR_C	PF19368.2	82	tr|Q8EFJ3|Q8EFJ3_SHEON	-	237	4.4e-05	23.8	0.1	2	2	1.1e-08	0.00011	22.5	0.0	8	71	166	229	159	235	0.81	AraR C-terminal winged HTH domain
HxlR	PF01638.20	91	tr|Q9I3B4|Q9I3B4_PSEAE	-	146	2.3e-19	69.1	0.0	1	1	1.6e-23	3.2e-19	68.7	0.0	1	87	20	104	20	108	0.94	HxlR-like helix-turn-helix
